name,pos,age,franchise,group,rating,basis,archive_file,fit_r,fit_mean_abs_error
Billy Kilmer,QB,39,Indianapolis Racers,old,85,calibrated from the 2K5 archive,1958-1980SAVEGAME.DAT,0.78,3.1
Ron McDole,DE,39,Indianapolis Racers,old,85,calibrated from the 2K5 archive,1958-1980SAVEGAME.DAT,0.57,4.1
Fran Tarkenton,QB,38,Memphis Southmen,old,76,calibrated from the 2K5 archive,GOATSSAVEGAME.DAT,0.78,3.1
Jackie Smith,TE,38,Indianapolis Racers,old,84,calibrated from the 2K5 archive,1958-1980SAVEGAME.DAT,0.59,4.4
Mick Tingelhoff,C,38,Indianapolis Racers,old,82,calibrated from the 2K5 archive,1958-1980SAVEGAME.DAT,0.64,4.9
Willie Brown,DB,37,Indianapolis Racers,old,77,calibrated from the 2K5 archive,1958-1980SAVEGAME.DAT,0.62,4.1
Jim Bakken,K,37,Indianapolis Racers,old,90,calibrated from the 2K5 archive,1958-1980SAVEGAME.DAT,0.65,4.9
Chris Hanburger,LB,37,Indianapolis Racers,old,75,calibrated from the 2K5 archive,1958-1980SAVEGAME.DAT,0.46,4.7
Jon Morris,C,36,Indianapolis Racers,old,68,calibrated from the 2K5 archive,GOATSSAVEGAME.DAT,0.64,4.9
MacArthur Lane,RB,36,Indianapolis Racers,old,88,"1976 mod, POVR 96 at 33, aged forward three years — led the NFL in receptions in 1976, his best season",,,
Norm Evans,OT,36,Indianapolis Racers,old,72,calibrated from the 2K5 archive,1958-1980SAVEGAME.DAT,0.57,4.7
Fred Biletnikoff,WR,35,Charlotte Hornets,old,80,calibrated from the 2K5 archive,1958-1980SAVEGAME.DAT,0.70,3.5
Elbert Drungo,OT,35,Charlotte Hornets,old,69,calibrated from the 2K5 archive,GOATSSAVEGAME.DAT,0.57,4.7
Bobby Maples,C,35,Charlotte Hornets,old,79,calibrated from the 2K5 archive,1958-1980SAVEGAME.DAT,0.64,4.9
Emmitt Thomas,DB,35,Charlotte Hornets,old,76,calibrated from the 2K5 archive,1958-1980SAVEGAME.DAT,0.62,4.1
Mike Curtis,LB,35,Charlotte Hornets,old,76,calibrated from the 2K5 archive,GOATSSAVEGAME.DAT,0.46,4.7
Jethro Pugh,DT,34,Charlotte Hornets,old,83,calibrated from the 2K5 archive,1958-1980SAVEGAME.DAT,0.62,4.5
Pete Banaszak,RB,34,Charlotte Hornets,old,75,calibrated from the 2K5 archive,1958-1980SAVEGAME.DAT,0.42,5.0
Paul Naumoff,LB,33,Charlotte Hornets,old,76,calibrated from the 2K5 archive,1958-1980SAVEGAME.DAT,0.46,4.7
Pat Curran,TE,33,Charlotte Hornets,old,77,"1976 mod, POVR 78 at 30, aged forward three years — tight end, Chargers",,,
Jake Scott,DB,33,Charlotte Hornets,old,81,calibrated from the 2K5 archive,1958-1980SAVEGAME.DAT,0.62,4.1
Vince Papale,WR,32,Charlotte Hornets,old,62,"1976 mod, POVR 63 at 30, aged forward three years — special teams, Eagles",,,
Hubert Ginn,RB,31,Charlotte Hornets,old,71,calibrated from the 2K5 archive,1958-1980SAVEGAME.DAT,0.42,5.0
Jim Mandich,TE,30,Charlotte Hornets,old,80,calibrated from the 2K5 archive,1979-1980SAVEGAME.DAT,0.59,4.4
Mike Patrick,P,26,Memphis Southmen,young,51,"prospect band, ordered by age (the only signal they carry)",,,
Teddy Farmer,RB,25,Memphis Southmen,young,54,"prospect band, ordered by age (the only signal they carry)",,,
Mel Mitchell,OG,25,Jacksonville Sharks,young,54,"prospect band, ordered by age (the only signal they carry)",1979-1980SAVEGAME.DAT,,
Marvin Switzer,DB,24,Memphis Southmen,young,59,"prospect band, ordered by age (the only signal they carry)",,,
Robert Turner,RB,24,Memphis Southmen,young,59,"prospect band, ordered by age (the only signal they carry)",,,
Al Darby,TE,24,Memphis Southmen,young,56,"prospect band, ordered by age (the only signal they carry)",,,
Dave Farmer,RB,24,Memphis Southmen,young,56,"prospect band, ordered by age (the only signal they carry)",,,
Karl Farmer,WR,24,Memphis Southmen,young,57,"prospect band, ordered by age (the only signal they carry)",,,
Earl Inmon,LB,24,Memphis Southmen,young,57,"prospect band, ordered by age (the only signal they carry)",,,
